Zodiac|SandwichName|Ingredient1|Ingredient2|Ingredient3|Ingredient4|Ingredient5|Ingredient6|Bread1|Bread2
Aries|Spicy Jerk Chicken Sandwich|jerk chicken|pepper jack cheese|mango slaw|pineapple slaw|jerk aioli||brioche|coco bread
Taurus|Oxtail Grilled Cheese|braised oxtail|cheddar cheese|mozzarella cheese|caramelized onions|butter||Texas toast|
Gemini|Cuban Medianoche|roast pork|ham|Swiss cheese|pickles|mustard||sweet Cuban bread|
Cancer|Smothered Turkey Gravy Sandwich|roasted turkey|brown gravy|caramelized onions|black pepper|||potato bread|white bread
Leo|Caribbean Chopped Cheesesteak|chopped beef|fried onions|fried peppers|pepper jack cheese|jerk seasoning|garlic mayo|hero roll|
Virgo|Blackened Catfish Sandwich|blackened catfish|lettuce|tomato|remoulade|||brioche bun|whole wheat bun
Libra|Pernil Sandwich|roasted pork shoulder|garlic mojo|salt|lettuce|||soft roll|
Scorpio|Hot Honey Fried Chicken Sandwich|fried chicken|hot honey|pickles|spicy mayo|||brioche bun|
Sagittarius|Birria Grilled Cheese|birria beef|Oaxaca cheese|mozzarella cheese|consommé|||bolillo|sourdough
Capricorn|BBQ Brisket Sandwich|smoked brisket|BBQ sauce|pickles|black pepper|||brioche bun|
Aquarius|Fried Plantain Veggie Sandwich|fried plantains|black bean spread|avocado|pickled red onions|olive oil||ciabatta|pan sobao
Pisces|Salmon Croquette Sandwich|salmon croquettes|remoulade|tartar sauce|shredded lettuce|lemon||potato bun|

